symbol,date,price
AMZN,Feb 2013,64.47
AMZN,Mar 2013,71.3
AMZN,Apr 2013,78.63
AMZN,May 2013,81.62
AMZN,Jun 2013,73.33
AMZN,Jul 2013,76.34
AMZN,Aug 2013,80.81
AMZN,Sep 2013,72.76
AMZN,Oct 2013,57.24
AMZN,Nov 2013,42.7
AMZN,Dec 2013,51.28
AMZN,Jan 2014,58.82
AMZN,Feb 2014,64.79
AMZN,Mar 2014,73.44
AMZN,Apr 2014,80.52
AMZN,May 2014,77.99
AMZN,Jun 2014,83.66
AMZN,Jul 2014,85.76
AMZN,Aug 2014,81.19
AMZN,Sep 2014,93.36
AMZN,Oct 2014,118.81
AMZN,Nov 2014,135.91
AMZN,Dec 2014,134.52
AMZN,Jan 2015,125.41
AMZN,Feb 2015,118.4
AMZN,Mar 2015,128.82
IBM,Jan 2005,100.52
IBM,Feb 2005,92.11
IBM,Mar 2005,106.11
IBM,Apr 2005,99.95
IBM,May 2005,96.31
IBM,Jun 2005,98.33
IBM,Jul 2005,100.74
IBM,Aug 2005,118.62
IBM,Sep 2005,101.19
IBM,Oct 2005,88.5
IBM,Nov 2005,84.12
IBM,Dec 2005,76.47
IBM,Jan 2006,100.76
IBM,Feb 2006,89.98
IBM,Mar 2006,86.63
IBM,Apr 2006,103.7
IBM,May 2006,100.82
IBM,Jun 2006,102.35
IBM,Jul 2006,94.87
IBM,Aug 2006,90.25
IBM,Sep 2006,82.82
IBM,Oct 2006,97.58
IBM,Nov 2006,104.5
IBM,Dec 2006,109.36
IBM,Jan 2007,97.54
IBM,Feb 2007,88.82
IBM,Mar 2007,94.15
IBM,Apr 2007,75.82
IBM,May 2007,72.97
IBM,Jun 2007,65.31
IBM,Jul 2007,63.86
IBM,Aug 2007,68.52
IBM,Sep 2007,53.01
IBM,Oct 2007,71.76
IBM,Nov 2007,79.16
IBM,Dec 2007,70.58
IBM,Jan 2008,71.22
IBM,Feb 2008,71.13
IBM,Mar 2008,71.57
IBM,Apr 2008,77.47
IBM,May 2008,80.48
IBM,Jun 2008,75.42
IBM,Jul 2008,74.28
IBM,Aug 2008,75.12
IBM,Sep 2008,80.91
IBM,Oct 2008,81.96
IBM,Nov 2008,83.08
IBM,Dec 2008,85.05
IBM,Jan 2009,91.06
IBM,Feb 2009,88.7
IBM,Mar 2009,84.41
IBM,Apr 2009,81.04
IBM,May 2009,81.59
IBM,Jun 2009,81.19
IBM,Jul 2009,80.19
IBM,Aug 2009,78.17
IBM,Sep 2009,79.13
IBM,Oct 2009,82.84
IBM,Nov 2009,87.15
IBM,Dec 2009,91.16
IBM,Jan 2010,86.39
IBM,Feb 2010,85.78
IBM,Mar 2010,84.66
IBM,Apr 2010,70.77
IBM,May 2010,70.18
IBM,Jun 2010,68.93
IBM,Jul 2010,77.53
IBM,Aug 2010,75.07
IBM,Sep 2010,74.7
IBM,Oct 2010,76.25
IBM,Nov 2010,82.98
IBM,Dec 2010,76.73
IBM,Jan 2011,75.89
IBM,Feb 2011,75.09
IBM,Mar 2011,77.17
IBM,Apr 2011,77.05
IBM,May 2011,75.04
IBM,Jun 2011,72.15
IBM,Jul 2011,72.7
IBM,Aug 2011,76.35
IBM,Sep 2011,77.26
IBM,Oct 2011,87.06
IBM,Nov 2011,86.95
IBM,Dec 2011,91.9
IBM,Jan 2012,93.79
IBM,Feb 2012,88.18
IBM,Mar 2012,89.44
IBM,Apr 2012,96.98
IBM,May 2012,101.54
IBM,Jun 2012,100.25
IBM,Jul 2012,105.4
IBM,Aug 2012,111.54
IBM,Sep 2012,112.6
IBM,Oct 2012,111
IBM,Nov 2012,100.9
IBM,Dec 2012,103.7
IBM,Jan 2013,102.75
IBM,Feb 2013,109.64
IBM,Mar 2013,110.87
IBM,Apr 2013,116.23
IBM,May 2013,125.14
IBM,Jun 2013,114.6
IBM,Jul 2013,123.74
IBM,Aug 2013,118.16
